Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Classification,Level,Job Category,Full-Time/Part-Time indicator,Career Level,Work Location,Division/Work Unit,Residency Requirement,Salary From Annual,Salary To Annual,Title Seniority,Borough,Salary Spread,Is Full Time,Is External,Career Level Encoded,Job Category Encoded,Agency Encoded,Borough Encoded,Title Seniority Encoded,Title Classification Encoded,Posting Type Encoded
623252,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Clinical Community Liaison, Bureau of Public Health Clinics",COMMUNITY ASSOCIATE,Non-Competitive-5,0,"Constituent Services & Community Programs Health Policy, Research & Analysis",F,Experienced (non-manager),42-09 28th Street,Clinical Operations,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",41887.0,48170.0,Standard,Other,6283.0,1,1,3,105,22,3,6,3,0
513665,HRA/DEPT OF SOCIAL SERVICES,Internal,1,CONTROL CLERK,CLERICAL ASSOCIATE,Competitive-1,3,Administration & Human Resources Social Services,F,Experienced (non-manager),470 Vanderbilt Ave,MAP MEDICAID ELIGIBILITY NM,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",36390.0,41848.0,Standard,Other,5458.0,1,0,3,46,34,3,6,0,1
627838,NYC HOUSING AUTHORITY,Internal,1,SUPERVISING HOUSING GROUNDSKEEPER (HA),SUPERVISING HOUSING GROUNDSKEE,Competitive-1,0,Building Operations & Maintenance,F,Manager,Marlboro,Brooklyn Property Management,NYCHA has no residency requirements.,43780.0,71517.0,Standard,Other,27737.0,1,0,4,50,43,3,6,0,1
577909,DEPT OF ENVIRONMENT PROTECTION,External,1,"Deputy Engineer in Charge, Infrastructure",ASSISTANT CIVIL ENGINEER,Competitive-1,0,"Engineering, Architecture, & Planning",F,Experienced (non-manager),96-05 Horace Harding Expway,Program Management,New York City Residency is not required for this position.,57078.0,85646.0,Mid,Other,28568.0,1,1,3,123,21,3,4,0,0
618642,TAXI & LIMOUSINE COMMISSION,Internal,1,Legal Affairs Interne,AGENCY ATTORNEY INTERNE,Non-Competitive-5,0,Legal Affairs,F,Experienced (non-manager),"33 Beaver St, New York Ny",Legal Affairs,New York City Residency is not required for this position.,68183.0,78411.0,Junior,Manhattan,10228.0,1,0,3,160,56,2,2,3,1
606539,DEPARTMENT OF CORRECTION,Internal,1,Director of Application Support,SENIOR IT ARCHITECT,Non-Competitive-5,0,"Technology, Data & Innovation",F,Experienced (non-manager),75-20 Astoria Blvd,Information Systems-Admin,New York City Residency is not required for this position,100000.0,160000.0,Director,Other,60000.0,1,0,3,171,13,3,0,3,1
567184,DEPT OF ENVIRONMENT PROTECTION,External,1,Records Management Officer,ASSOCIATE PUBLIC RECORDS OFFIC,Competitive-1,2,"Technology, Data & Innovation",F,Experienced (non-manager),420 East 38Th St.,Records and Archive Management,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",61469.0,87863.0,Standard,Other,26394.0,1,1,3,171,21,3,6,0,0
597890,DEPT OF ENVIRONMENT PROTECTION,Internal,1,FLEET SAFETY AND COMPLIANCE OFFICER,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,0,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),59-17 Junction Blvd Corona Ny,FLEET ADMINISTRATION,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",94715.0,136260.0,Standard,Queens,41545.0,1,0,3,169,21,4,6,0,1
627778,DEPT OF PARKS & RECREATION,External,1,Electrician,ELECTRICIAN,Competitive-1,0,Building Operations & Maintenance,F,Experienced (non-manager),Randalls Island 5-Boro Shops,CW SHOPS,"Residency in New York City, Nassau, Orange, Rockland, Suffolk, Putnam or Westchester counties required for employees with over two years of city service.  New York City residency required within 90 days of hiring for all other candidates.",130790.4,130790.4,Standard,Other,0.0,1,1,3,50,23,3,6,0,0
625469,HRA/DEPT OF SOCIAL SERVICES,Internal,2,PROJECT SPECIALIST,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,3,"Technology, Data & Innovation",F,Experienced (non-manager),15 Metrotech,Mgmt Information System-NM,New York City Residency is not required for this position,100743.0,115854.0,Standard,Bronx,15111.0,1,0,3,171,34,0,6,0,1
